XTSOL|p_id|p_model|p_stock|p_shipping|gm_show_qty_info|p_status|p_startpage|p_sorting|p_startpage_sort
XTSOL|391|1112010|100|2|0|1|0|None|None
XTSOL|392|1112009|100|2|0|1|1|None|None
XTSOL|396|1111006|0|9|0|1|0|None|None
XTSOL|397|1103004|10|2|0|1|0|None|None
XTSOL|398|1103005|50|2|0|1|0|None|None
XTSOL|399|1103006|7|2|1|1|0|None|None
XTSOL|400|1111002|100|2|0|1|0|None|None
XTSOL|401|1111001|100|2|0|1|0|None|None
XTSOL|407|1110019|10|2|0|1|0|None|None
XTSOL|408|1110018|100|2|0|1|0|None|None
XTSOL|416|1110010|0|2|1|0|0|None|None
XTSOL|424|1110002|100|2|0|1|0|None|None
XTSOL|427|1109005|0|2|1|0|0|None|None
XTSOL|429|1109003|0|2|1|0|0|None|None
XTSOL|430|1109002|0|2|1|0|0|None|None
XTSOL|431|1104023|100|2|0|1|0|None|None
XTSOL|433|1104025|9|2|1|1|0|None|None
XTSOL|436|1108007|100|2|0|1|0|None|None
XTSOL|437|1108006|50|2|0|1|0|None|None
XTSOL|440|1108003|100|2|0|1|0|None|None
XTSOL|442|1108001|100|2|0|1|0|None|None
XTSOL|443|1107004|100|2|0|1|0|None|None
XTSOL|446|1107001|100|2|0|1|0|None|None
XTSOL|451|1104043|10|2|0|1|0|None|None
XTSOL|452|1106041|100|2|0|1|0|None|None
XTSOL|456|1106037|0|2|1|0|0|None|None
XTSOL|457|1106036|100|2|0|1|0|None|None
XTSOL|460|1106033|100|2|0|1|0|None|None
XTSOL|461|1106032|100|2|0|1|1|None|None
XTSOL|462|1106031|100|2|0|1|0|None|None
XTSOL|463|1106030|100|2|0|1|0|None|None
XTSOL|464|1106029|100|2|0|1|0|None|None
XTSOL|465|1106028|100|2|0|1|0|None|None
XTSOL|466|1106027|100|2|0|1|0|None|None
XTSOL|468|1106025|0|2|1|0|0|None|None
XTSOL|469|1104061|100|2|0|1|0|None|None
XTSOL|470|1106023|50|2|0|1|0|None|None
XTSOL|471|1106022|0|9|0|1|0|None|None
XTSOL|473|1106020|0|9|0|1|0|None|None
XTSOL|478|1104070|100|2|0|1|0|None|None
XTSOL|479|1104071|100|2|0|1|0|None|None
XTSOL|480|1104072|50|2|0|1|0|None|None
XTSOL|482|1106011|100|2|0|1|0|None|None
XTSOL|483|1106010|100|2|0|1|0|None|None
XTSOL|485|1106008|100|2|0|1|0|None|None
XTSOL|486|1106007|0|2|1|0|0|None|None
XTSOL|487|1106006|100|2|0|1|0|None|None
XTSOL|489|1106004|100|2|0|1|0|None|None
XTSOL|491|1106002|100|2|0|1|0|None|None
XTSOL|492|1106001|100|2|0|1|0|None|None
XTSOL|493|1104085|10|2|0|1|0|None|None
XTSOL|494|1105041|0|2|1|0|0|None|None
XTSOL|495|1105040|0|2|1|0|0|None|None
XTSOL|496|1105039|0|2|1|0|0|None|None
XTSOL|497|1105038|0|2|1|0|0|None|None
XTSOL|498|1105037|10|2|0|1|0|None|None
XTSOL|499|1105036|10|2|0|1|0|None|None
XTSOL|501|1105034|100|2|0|1|0|None|None
XTSOL|502|1105033|100|2|0|1|0|None|None
XTSOL|503|1105032|100|2|0|1|0|None|None
XTSOL|504|1105031|0|2|1|0|0|None|None
XTSOL|507|1105028|50|2|0|1|0|None|None
XTSOL|508|1105027|100|2|0|1|0|None|None
XTSOL|509|1105026|100|2|0|1|0|None|None
XTSOL|510|1105025|0|2|1|0|0|None|None
XTSOL|511|1104101|50|2|0|1|0|None|None
XTSOL|512|1105023|0|2|1|0|0|None|None
XTSOL|513|1104103|50|2|0|1|0|None|None
XTSOL|514|1105021|100|2|0|1|0|None|None
XTSOL|525|1105010|100|2|0|1|0|None|None
XTSOL|526|1104120|100|2|0|1|0|None|None
XTSOL|528|1105007|0|2|1|0|0|None|None
XTSOL|532|1104126|100|2|0|1|0|None|None
XTSOL|535|1104035|0|2|1|0|0|None|None
XTSOL|536|1104034|0|2|1|0|0|None|None
XTSOL|537|1104033|100|2|0|1|1|None|None
XTSOL|538|1104032|50|2|0|1|0|None|None
XTSOL|539|1104031|100|2|0|1|0|None|None
XTSOL|540|1104030|50|2|0|1|0|None|None
XTSOL|541|1104029|50|2|0|1|0|None|None
XTSOL|543|1104027|0|2|1|0|0|None|None
XTSOL|544|1104026|100|2|0|1|0|None|None
XTSOL|550|1104020|0|2|1|0|0|None|None
XTSOL|551|1104019|100|2|0|1|0|None|None
XTSOL|552|1104018|0|9|0|1|0|None|None
XTSOL|553|1104017|100|2|0|1|0|None|None
XTSOL|554|1104016|100|2|0|1|0|None|None
XTSOL|555|1104015|100|2|0|1|0|None|None
XTSOL|557|1104013|100|2|0|1|0|None|None
XTSOL|559|1104011|100|2|0|1|0|None|None
XTSOL|560|1104010|50|2|0|1|0|None|None
XTSOL|561|1104009|100|2|0|1|0|None|None
XTSOL|562|1104008|50|2|0|1|0|None|None
XTSOL|563|1104007|100|2|0|1|0|None|None
XTSOL|564|1104006|100|2|0|1|0|None|None
XTSOL|566|1105030|10|2|0|1|0|None|None
XTSOL|567|1104003|0|2|1|0|0|None|None
XTSOL|571|1103010|100|2|0|1|0|None|None
XTSOL|574|1102008|0|2|1|0|0|None|None
XTSOL|581|1105044|0|2|1|0|0|None|None
XTSOL|584|1017009|0|2|1|0|0|None|None
XTSOL|585|1017008|0|2|1|0|0|None|None
XTSOL|586|1017007|0|2|1|0|0|None|None
XTSOL|587|1017006|0|2|1|0|0|None|None
XTSOL|588|1017005|0|2|1|0|0|None|None
XTSOL|589|1017004|0|2|1|0|0|None|None
XTSOL|590|1017003|0|2|1|0|0|None|None
XTSOL|591|1017002|0|2|1|0|0|None|None
XTSOL|592|1017001|0|2|1|0|0|None|None
XTSOL|593|1105056|100|2|0|1|0|None|None
XTSOL|595|1016006|0|2|1|0|0|None|None
XTSOL|596|1016005|0|2|1|0|0|None|None
XTSOL|597|1016004|0|2|1|0|0|None|None
XTSOL|598|1016003|0|2|1|0|0|None|None
XTSOL|599|1105062|1|2|1|1|0|None|None
XTSOL|600|1016001|0|2|1|0|0|None|None
XTSOL|601|1015020|100|2|0|1|0|None|None
XTSOL|602|1105065|10|2|0|1|0|None|None
XTSOL|603|1015018|100|2|0|1|0|None|None
XTSOL|609|1015012|100|2|0|1|0|None|None
XTSOL|610|1015011|100|2|0|1|0|None|None
XTSOL|611|1015010|100|2|0|1|0|None|None
XTSOL|612|1015009|100|2|0|1|0|None|None
XTSOL|613|1015008|100|2|0|1|0|None|None
XTSOL|615|1015006|100|2|0|1|0|None|None
XTSOL|616|1015005|100|2|0|1|0|None|None
XTSOL|621|1013014|0|2|1|0|0|None|None
XTSOL|622|1013013|100|2|0|1|0|None|None
XTSOL|623|1013012|100|2|0|1|0|None|None
XTSOL|624|1105085|0|2|1|0|0|None|None
XTSOL|625|1013010|100|2|0|1|0|None|None
XTSOL|626|1013009|100|2|0|1|0|None|None
XTSOL|627|1013008|100|2|0|1|0|None|None
XTSOL|628|1013007|100|2|0|1|0|None|None
XTSOL|629|1105090|100|2|0|1|0|None|None
XTSOL|630|1105091|100|2|0|1|0|None|None
XTSOL|631|1013004|100|2|0|1|0|None|None
XTSOL|632|1013003|100|2|0|1|0|None|None
XTSOL|633|1013002|100|2|0|1|0|None|None
XTSOL|634|1013001|100|2|0|1|0|None|None
XTSOL|635|1012003|0|2|1|0|0|None|None
XTSOL|636|1012002|0|2|1|0|0|None|None
XTSOL|638|1011018|100|2|0|1|0|None|None
XTSOL|639|1011017|100|2|0|1|0|None|None
XTSOL|640|1011016|100|2|0|1|0|None|None
XTSOL|641|1011015|100|2|0|1|0|None|None
XTSOL|642|1011014|10|2|0|1|0|None|None
XTSOL|643|1011013|100|2|0|1|0|None|None
XTSOL|644|1011012|100|2|0|1|0|None|None
XTSOL|645|1011011|100|2|0|1|0|None|None
XTSOL|646|1011010|100|2|0|1|0|None|None
XTSOL|647|1011009|100|2|0|1|0|None|None
XTSOL|648|1011008|100|2|0|1|0|None|None
XTSOL|649|1011007|100|2|0|1|0|None|None
XTSOL|650|1011006|100|2|0|1|0|None|None
XTSOL|651|1011005|100|2|0|1|0|None|None
XTSOL|652|1011004|100|2|0|1|0|None|None
XTSOL|678|1009009|0|2|1|0|0|None|None
XTSOL|679|1009008|0|2|1|0|0|None|None
XTSOL|680|1009007|0|2|1|0|0|None|None
XTSOL|681|1009006|0|9|0|1|0|None|None
XTSOL|684|1008016|0|2|1|0|0|None|None
XTSOL|685|1008015|0|2|1|0|0|None|None
XTSOL|686|1008014|0|2|1|0|0|None|None
XTSOL|688|1008012|0|2|1|0|0|None|None
XTSOL|689|1008011|0|2|1|0|0|None|None
XTSOL|690|1008010|0|2|1|0|0|None|None
XTSOL|692|1008008|0|2|1|0|0|None|None
XTSOL|698|1106049|100|2|0|1|0|None|None
XTSOL|703|1106054|10|2|0|1|0|None|None
XTSOL|714|1106065|0|2|1|0|0|None|None
XTSOL|715|1106066|0|2|1|0|0|None|None
XTSOL|716|1004009|0|2|1|0|0|None|None
XTSOL|717|1004006|0|2|1|0|0|None|None
XTSOL|718|1004005|0|2|1|0|0|None|None
XTSOL|719|1004004|0|2|1|0|0|None|None
XTSOL|720|1004003|0|2|1|0|0|None|None
XTSOL|721|1004002|0|2|1|0|0|None|None
XTSOL|734|1002001|100|2|0|1|0|None|None
XTSOL|735|1001006|0|2|1|0|0|None|None
XTSOL|736|1001005|0|2|1|0|0|None|None
XTSOL|737|1001004|0|2|1|0|0|None|None
XTSOL|741|1501013|0|2|1|0|0|None|None
XTSOL|742|1501014|0|2|1|0|0|None|None
XTSOL|743|1501015|0|2|1|0|0|None|None
XTSOL|744|1309013|0|2|1|0|0|None|None
XTSOL|745|1309014|0|2|1|0|0|None|None
XTSOL|746|1301008|0|2|1|0|0|None|None
XTSOL|747|1301009|0|2|1|0|0|None|None
XTSOL|748|1301010|0|2|1|0|0|None|None
XTSOL|749|1301011|0|2|1|0|0|None|None
XTSOL|750|1301012|0|9|0|1|0|None|None
XTSOL|751|1301013|0|9|0|1|0|None|None
XTSOL|752|1301014|0|9|0|1|0|None|None
XTSOL|753|1116037|100|2|0|1|0|None|None
XTSOL|754|1116038|100|2|0|1|0|None|None
XTSOL|755|1114026|0|2|1|0|0|None|None
XTSOL|758|1105046|10|2|0|1|0|None|None
XTSOL|759|1105047|4|2|1|1|0|None|None
XTSOL|760|1105048|100|2|0|1|0|None|None
XTSOL|761|1104036|0|2|1|0|0|None|None
XTSOL|762|1104037|0|2|1|0|0|None|None
XTSOL|763|1104038|0|2|1|0|0|None|None
XTSOL|764|1104039|0|2|1|0|0|None|None
XTSOL|765|1104040|10|2|0|1|0|None|None
XTSOL|793|1104046|0|2|1|0|0|None|None
XTSOL|794|1108022|100|2|0|1|0|None|None
XTSOL|795|1108023|100|2|0|1|0|None|None
XTSOL|808|1108028|0|2|1|0|0|None|None
XTSOL|809|1501022|0|9|0|1|0|None|None
XTSOL|813|1115023|0|2|1|0|0|None|None
XTSOL|820|1206009|100|2|0|1|0|None|None
XTSOL|821|1206010|100|2|0|1|0|None|None
XTSOL|822|1206011|100|2|0|1|0|None|None
XTSOL|843|1112019|7|2|1|1|0|None|None
XTSOL|844|1112020|10|2|0|1|0|None|None
XTSOL|854|1111004|100|2|0|1|0|None|None
XTSOL|855|1001008|100|2|0|1|0|None|None
XTSOL|862|1112011|100|2|0|1|0|None|None
XTSOL|883|1112032|10|2|0|1|0|None|None
XTSOL|908|1112033|100|2|0|1|0|None|None
XTSOL|932|1114001|0|2|1|0|0|None|None
XTSOL|936|1114005|0|2|1|0|0|None|None
XTSOL|938|1116039|100|2|0|1|0|None|None
XTSOL|939|1116040|100|2|0|1|0|None|None
XTSOL|940|1116041|100|2|0|1|0|None|None
XTSOL|941|1116042|10|2|0|1|0|None|None
XTSOL|942|1116043|10|2|0|1|0|None|None
XTSOL|955|1104051|50|2|0|1|0|None|None
XTSOL|956|1104052|100|2|0|1|0|None|None
XTSOL|957|1104053|100|2|0|1|0|None|None
XTSOL|962|1105049|0|9|0|1|0|None|None
XTSOL|990|1104054|10|2|0|1|0|None|None
XTSOL|991|1104055|50|2|0|1|0|None|None
XTSOL|993|1114031|100|2|0|1|0|None|None
XTSOL|996|1114034|100|2|0|1|0|None|None
XTSOL|998|1104056|100|2|0|1|0|None|None
XTSOL|999|1104057|100|2|0|1|0|None|None
XTSOL|1000|1104058|100|2|0|1|0|None|None
XTSOL|1001|1114038|100|2|0|1|0|None|None
XTSOL|1002|1114039|100|2|0|1|0|None|None
XTSOL|1003|1115026|10|2|0|1|0|None|None
XTSOL|1004|1104059|100|2|0|1|0|None|None
XTSOL|1005|1104060|100|2|0|1|0|None|None
XTSOL|1007|1114044|100|2|0|1|0|None|None
XTSOL|1008|1114045|100|2|0|1|0|None|None
XTSOL|1009|1114046|100|2|0|1|0|None|None
XTSOL|1010|1114047|0|2|1|0|0|None|None
XTSOL|1011|1114048|50|2|0|1|0|None|None
XTSOL|1012|1114049|100|2|0|1|0|None|None
XTSOL|1013|1112022|100|2|0|1|0|None|None
XTSOL|1017|1115005|100|2|0|1|0|None|None
XTSOL|1027|1115015|100|2|0|1|0|None|None
XTSOL|1029|1115017|0|2|1|0|0|None|None
XTSOL|1036|1115024|100|2|0|1|0|None|None
XTSOL|1063|1112030|10|2|0|1|0|None|None
XTSOL|1064|1112031|100|2|0|1|0|None|None
XTSOL|1087|1116022|100|2|0|1|0|None|None
XTSOL|1093|1116028|100|2|0|1|0|None|None
XTSOL|1097|1014001|0|2|1|0|0|None|None
XTSOL|1098|1014002|0|2|1|0|0|None|None
XTSOL|1099|1014003|0|2|1|0|0|None|None
XTSOL|1100|1014004|0|2|1|0|0|None|None
XTSOL|1101|1116035|100|2|0|1|0|None|None
XTSOL|1102|1116036|100|2|0|1|0|None|None
XTSOL|1117|1116052|50|2|0|1|0|None|None
XTSOL|1121|1116057|50|2|0|1|0|None|None
XTSOL|1124|1116061|100|2|0|1|0|None|None
XTSOL|1125|1116062|100|2|0|1|0|None|None
XTSOL|1128|1116065|50|2|0|1|0|None|None
XTSOL|1162|1118001|0|2|1|0|0|None|None
XTSOL|1168|1118007|0|2|1|0|0|None|None
XTSOL|1169|1118008|10|2|0|1|0|None|None
XTSOL|1170|1118009|0|2|1|0|0|None|None
XTSOL|1173|1118012|100|2|0|1|0|None|None
XTSOL|1174|1118013|0|2|1|0|0|None|None
XTSOL|1185|1206001|100|2|0|1|0|None|None
XTSOL|1456|1004007|0|2|1|0|0|None|None
XTSOL|1457|1004009|0|2|1|0|0|None|None
XTSOL|1463|1011019|100|2|0|1|0|None|None
XTSOL|1464|1011020|100|2|0|1|0|None|None
XTSOL|1465|1011021|0|9|0|1|0|None|None
XTSOL|1466|1011022|50|2|0|1|0|None|None
XTSOL|1467|1015007|50|2|0|1|0|None|None
XTSOL|1468|1015021|50|2|0|1|0|None|None
XTSOL|1473|1112016|100|2|0|1|0|None|None
XTSOL|1475|1114014|100|2|0|1|0|None|None
XTSOL|1480|1301005|0|2|1|0|0|None|None
XTSOL|1481|1301005|0|2|1|0|0|None|None
XTSOL|1482|1301005|0|2|1|0|0|None|None
XTSOL|1483|1301005|0|2|1|0|0|None|None
XTSOL|1484|1304001|0|2|1|0|0|None|None
XTSOL|1485|1304007|0|2|1|0|0|None|None
XTSOL|1486|1304008|0|2|1|0|0|None|None
XTSOL|1487|1304009|0|2|1|0|0|None|None
XTSOL|1488|1304010|0|2|1|0|0|None|None
XTSOL|1489|1304011|0|2|1|0|0|None|None
XTSOL|1490|1304012|0|2|1|0|0|None|None
XTSOL|1491|1304013|0|2|1|0|0|None|None
XTSOL|1492|1304014|0|2|1|0|0|None|None
XTSOL|1493|1309003|0|2|1|0|0|None|None
XTSOL|1494|1309009|0|2|1|0|0|None|None
XTSOL|1495|1309010|0|2|1|0|0|None|None
XTSOL|1496|1309011|0|2|1|0|0|None|None
XTSOL|1497|1309012|0|2|1|0|0|None|None
XTSOL|1498|1309004|0|2|1|0|0|None|None
XTSOL|1499|1309005|0|2|1|0|0|None|None
XTSOL|1500|1309006|0|9|0|1|0|None|None
XTSOL|1501|1309007|0|2|1|0|0|None|None
XTSOL|1502|1309008|0|2|1|0|0|None|None
XTSOL|1505|1106047|50|2|0|1|0|None|None
XTSOL|1506|1106048|10|2|0|1|0|None|None
XTSOL|1508|1106050|100|2|0|1|0|None|None
XTSOL|1509|1105053|50|2|0|1|0|None|None
XTSOL|1512|1106051|100|2|0|1|0|None|None
XTSOL|1521|1105063|10|2|0|1|0|None|None
XTSOL|1522|1105064|10|2|0|1|0|None|None
XTSOL|1524|1105066|0|2|1|0|0|None|None
XTSOL|1525|1105067|100|2|0|1|0|None|None
XTSOL|1527|1106053|100|2|0|1|0|None|None
XTSOL|1528|1013017|100|2|0|1|0|None|None
XTSOL|1529|1013018|100|2|0|1|0|None|None
XTSOL|1530|1013019|100|2|0|1|0|None|None
XTSOL|1531|1013020|100|2|0|1|0|None|None
XTSOL|1532|1013021|100|2|0|1|0|None|None
XTSOL|1535|1502003|10|2|0|1|0|None|None
