p_id,p_model,p_stock,p_shipping,gm_show_qty_info,p_status,p_startpage,p_sorting,p_startpage_sort
483,1106010,100,2,0,1,0,None,None
485,1106008,100,2,0,1,0,None,None
486,1106007,0,2,1,0,0,None,None
487,1106006,100,2,0,1,0,None,None
489,1106004,100,2,0,1,0,None,None
491,1106002,100,2,0,1,0,None,None
492,1106001,100,2,0,1,0,None,None
493,1104085,10,2,0,1,0,None,None
494,1105041,0,2,1,0,0,None,None
495,1105040,0,2,1,0,0,None,None
496,1105039,0,2,1,0,0,None,None
497,1105038,0,2,1,0,0,None,None
498,1105037,10,2,0,1,0,None,None
499,1105036,10,2,0,1,0,None,None
501,1105034,100,2,0,1,0,None,None
502,1105033,100,2,0,1,0,None,None
503,1105032,100,2,0,1,0,None,None
504,1105031,0,2,1,0,0,None,None
507,1105028,50,2,0,1,0,None,None
508,1105027,100,2,0,1,0,None,None
509,1105026,100,2,0,1,0,None,None
510,1105025,0,2,1,0,0,None,None
511,1104101,50,2,0,1,0,None,None
512,1105023,0,2,1,0,0,None,None
513,1104103,50,2,0,1,0,None,None
514,1105021,100,2,0,1,0,None,None
525,1105010,100,2,0,1,0,None,None
526,1104120,100,2,0,1,0,None,None
528,1105007,0,2,1,0,0,None,None
532,1104126,100,2,0,1,0,None,None
535,1104035,0,2,1,0,0,None,None
536,1104034,0,2,1,0,0,None,None
537,1104033,100,2,0,1,1,None,None
538,1104032,50,2,0,1,0,None,None
539,1104031,100,2,0,1,0,None,None
540,1104030,50,2,0,1,0,None,None
541,1104029,50,2,0,1,0,None,None
543,1104027,0,2,1,0,0,None,None
544,1104026,100,2,0,1,0,None,None
550,1104020,0,2,1,0,0,None,None
551,1104019,100,2,0,1,0,None,None
552,1104018,0,9,0,1,0,None,None
553,1104017,100,2,0,1,0,None,None
554,1104016,100,2,0,1,0,None,None
555,1104015,100,2,0,1,0,None,None
557,1104013,100,2,0,1,0,None,None
559,1104011,100,2,0,1,0,None,None
560,1104010,50,2,0,1,0,None,None
561,1104009,100,2,0,1,0,None,None
562,1104008,50,2,0,1,0,None,None
563,1104007,100,2,0,1,0,None,None
564,1104006,100,2,0,1,0,None,None
566,1105030,10,2,0,1,0,None,None
567,1104003,0,2,1,0,0,None,None
571,1103010,100,2,0,1,0,None,None
574,1102008,0,2,1,0,0,None,None
581,1105044,0,2,1,0,0,None,None
584,1017009,0,2,1,0,0,None,None
585,1017008,0,2,1,0,0,None,None
586,1017007,0,2,1,0,0,None,None
587,1017006,0,2,1,0,0,None,None
588,1017005,0,2,1,0,0,None,None
589,1017004,0,2,1,0,0,None,None
590,1017003,0,2,1,0,0,None,None
591,1017002,0,2,1,0,0,None,None
592,1017001,0,2,1,0,0,None,None
593,1105056,100,2,0,1,0,None,None
595,1016006,0,2,1,0,0,None,None
596,1016005,0,2,1,0,0,None,None
597,1016004,0,2,1,0,0,None,None
598,1016003,0,2,1,0,0,None,None
599,1105062,1,2,1,1,0,None,None
600,1016001,0,2,1,0,0,None,None
601,1015020,100,2,0,1,0,None,None
602,1105065,10,2,0,1,0,None,None
603,1015018,100,2,0,1,0,None,None
609,1015012,100,2,0,1,0,None,None
610,1015011,100,2,0,1,0,None,None
611,1015010,100,2,0,1,0,None,None
